Neighborhood,prices,year,month,total crime,violent crime,drug crime,housing crime,price classified
Bay Village,1178879.0,2021,2,7,0,0,0,high
Bay Village,1173798.0,2021,3,8,0,0,1,high
Bay Village,1175838.0,2021,4,9,2,0,0,high
Bay Village,1175006.0,2021,5,12,2,1,0,high
Bay Village,1183173.0,2021,6,9,0,0,0,high
Bay Village,1199108.0,2021,7,5,0,0,0,high
Bay Village,1214619.0,2021,8,12,0,0,0,very high
Bay Village,1219589.0,2021,9,8,1,0,0,very high
Beacon Hill,827748.0,2015,6,40,0,0,2,high
Beacon Hill,915235.0,2015,6,40,0,0,2,high
Beacon Hill,835201.0,2015,7,63,1,2,5,high
Beacon Hill,931361.0,2015,7,63,1,2,5,high
Beacon Hill,840381.0,2015,8,105,9,5,8,high
Beacon Hill,943593.0,2015,8,105,9,5,8,high
Beacon Hill,848291.0,2015,9,73,6,2,1,high
Beacon Hill,959458.0,2015,9,73,6,2,1,high
Beacon Hill,849038.0,2015,10,87,10,1,4,high
Beacon Hill,960820.0,2015,10,87,10,1,4,high
Beacon Hill,851149.0,2015,11,77,1,0,1,high
Beacon Hill,961430.0,2015,11,77,1,0,1,high
Beacon Hill,855856.0,2015,12,65,3,1,4,high
Beacon Hill,964567.0,2015,12,65,3,1,4,high
Beacon Hill,869014.0,2016,1,72,3,3,4,high
Beacon Hill,976763.0,2016,1,72,3,3,4,high
Beacon Hill,873397.0,2016,2,48,4,0,3,high
Beacon Hill,985229.0,2016,2,48,4,0,3,high
Beacon Hill,879506.0,2016,3,64,5,0,3,high
Beacon Hill,995587.0,2016,3,64,5,0,3,high
Beacon Hill,878001.0,2016,4,82,6,3,1,high
Beacon Hill,996160.0,2016,4,82,6,3,1,high
Beacon Hill,881953.0,2016,5,93,5,7,8,high
Beacon Hill,1000723.0,2016,5,93,5,7,8,high
Beacon Hill,881068.0,2016,6,84,3,8,5,high
Beacon Hill,1002252.0,2016,6,84,3,8,5,high
Beacon Hill,879796.0,2016,7,76,5,2,2,high
Beacon Hill,1004191.0,2016,7,76,5,2,2,high
Beacon Hill,879086.0,2016,8,86,1,2,2,high
Beacon Hill,1005612.0,2016,8,86,1,2,2,high
Beacon Hill,880315.0,2016,9,84,5,6,5,high
Beacon Hill,1004913.0,2016,9,84,5,6,5,high
Beacon Hill,884354.0,2016,10,67,4,2,3,high
Beacon Hill,1007570.0,2016,10,67,4,2,3,high
Beacon Hill,892423.0,2016,11,73,1,0,2,high
Beacon Hill,1014336.0,2016,11,73,1,0,2,high
Beacon Hill,898206.0,2016,12,68,5,2,3,high
Beacon Hill,1018735.0,2016,12,68,5,2,3,high
Beacon Hill,901085.0,2017,1,70,4,2,6,high
Beacon Hill,1021211.0,2017,1,70,4,2,6,high
Beacon Hill,904980.0,2017,2,61,6,1,8,high
Beacon Hill,1025660.0,2017,2,61,6,1,8,high
Beacon Hill,911817.0,2017,3,60,6,0,6,high
Beacon Hill,1033178.0,2017,3,60,6,0,6,high
Beacon Hill,923103.0,2017,4,47,3,0,3,high
Beacon Hill,1043042.0,2017,4,47,3,0,3,high
Beacon Hill,929254.0,2017,5,71,4,1,3,high
Beacon Hill,1047295.0,2017,5,71,4,1,3,high
Beacon Hill,933266.0,2017,6,81,10,0,4,high
Beacon Hill,1051551.0,2017,6,81,10,0,4,high
Beacon Hill,937752.0,2017,7,85,9,0,2,high
Beacon Hill,1055195.0,2017,7,85,9,0,2,high
Beacon Hill,943912.0,2017,8,92,7,0,7,high
Beacon Hill,1059648.0,2017,8,92,7,0,7,high
Beacon Hill,946919.0,2017,9,74,3,0,6,high
Beacon Hill,1059972.0,2017,9,74,3,0,6,high
Beacon Hill,946683.0,2017,10,52,3,0,1,high
Beacon Hill,1058952.0,2017,10,52,3,0,1,high
Beacon Hill,945682.0,2017,11,63,1,2,0,high
Beacon Hill,1055846.0,2017,11,63,1,2,0,high
Beacon Hill,945768.0,2017,12,50,3,2,3,high
Beacon Hill,1054168.0,2017,12,50,3,2,3,high
Beacon Hill,947550.0,2018,1,53,4,1,6,high
Beacon Hill,1054075.0,2018,1,53,4,1,6,high
Beacon Hill,950528.0,2018,2,43,3,0,2,high
Beacon Hill,1056377.0,2018,2,43,3,0,2,high
Beacon Hill,957619.0,2018,3,43,3,0,4,high
Beacon Hill,1061373.0,2018,3,43,3,0,4,high
Beacon Hill,960722.0,2018,4,66,6,0,4,high
Beacon Hill,1061074.0,2018,4,66,6,0,4,high
Beacon Hill,963544.0,2018,5,82,5,2,4,high
Beacon Hill,1059861.0,2018,5,82,5,2,4,high
Beacon Hill,962873.0,2018,6,85,6,0,2,high
Beacon Hill,1057207.0,2018,6,85,6,0,2,high
Beacon Hill,965831.0,2018,7,76,1,0,8,high
Beacon Hill,1056602.0,2018,7,76,1,0,8,high
Beacon Hill,966360.0,2018,8,83,4,0,9,high
Beacon Hill,1055856.0,2018,8,83,4,0,9,high
